"","x"
"1013","HAPLN2"
"1014","BCAN"
"1015","NES"
"1016","CRABP2"
"1017","ISG20L2"
"1018","RRNAD1"
"1019","MRPL24"
"1020","HDGF"
"1021","PRCC"
"1022","NTRK1"
"1023","ARHGEF11"
"1024","ETV3"
"1025","FCRL2"
"1026","CD1D"
"1027","PYHIN1"
"1028","IFI16"
"1029","AIM2"
"1030","CADM3"
"1031","ACKR1"
"1032","DUSP23"
"1033","SLAMF8"
"1034","VSIG8"
"1035","TAGLN2"
"1036","IGSF9"
"1037","PIGM"
"1038","KCNJ10"
"1039","KCNJ9"
"1040","IGSF8"
"1041","ATP1A2"
"1042","ATP1A4"
"1043","CASQ1"
"1044","PEA15"
"1045","DCAF8"
"1046","COPA"
"1047","NCSTN"
"1048","NHLH1"
"1049","VANGL2"
"1050","CD84"
"1051","SLAMF7"
"1052","LY9"
"1053","F11R"
"1054","TSTD1"
"1055","USF1"
"1056","ARHGAP30"
"1057","KLHDC9"
"1058","PFDN2"
"1059","NIT1"
"1060","DEDD"
"1061","UFC1"
"1062","USP21"
"1063","PPOX"
"1064","B4GALT3"
"1065","ADAMTS4"
"1066","NDUFS2"
"1067","FCER1G"
"1068","TOMM40L"
"1069","NR1I3"
"1070","PCP4L1"
"1071","MPZ"
"1072","SDHC"
"1073","FCGR3A"
"1074","FCRLB"
"1075","DUSP12"
"1076","ATF6"
"1077","OLFML2B"
"1078","NOS1AP"
"1079","C1orf226"
"1080","SH2D1B"
"1081","UHMK1"
"1082","UAP1"
"1083","DDR2"
"1084","HSD17B7"
"1085","CCDC190"
"1086","RGS4"
"1087","RGS5"
"1088","NUF2"
"1089","PBX1"
"1090","RXRG"
"1091","MGST3"
"1092","ALDH9A1"
"1093","TMCO1"
"1094","UCK2"
"1095","FAM78B"
"1096","POGK"
"1097","TADA1"
"1098","ILDR2"
"1099","MAEL"
"1100","GPA33"
"1101","DUSP27"
"1102","POU2F1"
"1103","CD247"
"1104","CREG1"
"1105","RCSD1"
"1106","MPZL1"
"1107","ADCY10"
"1108","MPC2"
"1109","DCAF6"
"1110","GPR161"
"1111","TIPRL"
"1112","SFT2D2"
"1113","TBX19"
"1114","XCL1"
"1115","DPT"
"1116","ATP1B1"
"1117","NME7"
"1118","BLZF1"
"1119","CCDC181"
"1120","SLC19A2"
"1121","F5"
"1122","C1orf112"
"1123","METTL18"
"1124","SCYL3"
"1125","KIFAP3"
"1126","GORAB"
"1127","PRRX1"
"1128","PRRC2C"
"1129","VAMP4"
"1130","DNM3"
"1131","PIGC"
"1132","C1orf105"
"1133","SUCO"
"1134","TNFSF18"
"1135","TNFSF4"
"1136","PRDX6"
"1137","SLC9C2"
"1138","ANKRD45"
"1139","KLHL20"
"1140","CENPL"
"1141","DARS2"
"1142","ZBTB37"
"1143","RC3H1"
"1144","RABGAP1L"
"1145","CACYBP"
"1146","MRPS14"
"1147","TNN"
"1148","KIAA0040"
"1149","TNR"
"1150","PAPPA2"
"1151","ASTN1"
"1152","BRINP2"
"1153","SEC16B"
"1154","RASAL2"
"1155","RALGPS2"
"1156","ANGPTL1"
"1157","FAM20B"
"1158","TOR3A"
"1159","ABL2"
"1160","SOAT1"
"1161","AXDND1"
"1162","TDRD5"
"1163","FAM163A"
"1164","TOR1AIP2"
"1165","TOR1AIP1"
"1166","CEP350"
"1167","QSOX1"
"1168","LHX4"
"1169","ACBD6"
"1170","XPR1"
"1171","KIAA1614"
"1172","STX6"
"1173","MR1"
"1174","IER5"
"1175","CACNA1E"
"1176","GLUL"
"1177","RGSL1"
"1178","RNASEL"
"1179","RGS16"
"1180","RGS8"
"1181","NPL"
"1182","DHX9"
"1183","SHCBP1L"
"1184","LAMC1"
"1185","LAMC2"
"1186","NMNAT2"
"1187","SMG7"
"1188","ARPC5"
"1189","RGL1"
"1190","COLGALT2"
